"ecosystem"	"package"	"version"	"license"	"license_files"	"status"
"cargo"	"quick-xml"	"0.42.0"	"MIT"	"quick-xml_0.42.0__LICENSE-MIT.md"	"included"
"cargo"	"quote"	"1.0.47"	"MIT OR Apache-2.0"	"quote_1.0.47__LICENSE-APACHE;quote_1.0.47__LICENSE-MIT"	"included"
"cargo"	"raw-window-handle"	"0.6.2"	"MIT OR Apache-2.0 OR Zlib"	"raw-window-handle_0.6.2__LICENSE-APACHE.md;raw-window-handle_0.6.2__LICENSE-MIT.md;raw-window-handle_0.6.2__LICENSE-ZLIB.md"	"included"
"cargo"	"ref-cast"	"1.0.27"	"MIT OR Apache-2.0"	"ref-cast_1.0.27__LICENSE-APACHE;ref-cast_1.0.27__LICENSE-MIT"	"included"
"cargo"	"ref-cast-impl"	"1.0.27"	"MIT OR Apache-2.0"	"ref-cast-impl_1.0.27__LICENSE-APACHE;ref-cast-impl_1.0.27__LICENSE-MIT"	"included"
"cargo"	"regex"	"1.13.1"	"MIT OR Apache-2.0"	"regex_1.13.1__LICENSE-APACHE;regex_1.13.1__LICENSE-MIT"	"included"
"cargo"	"regex-automata"	"0.4.18"	"MIT OR Apache-2.0"	"regex-automata_0.4.18__LICENSE-APACHE;regex-automata_0.4.18__LICENSE-MIT"	"included"
"cargo"	"regex-syntax"	"0.8.11"	"MIT OR Apache-2.0"	"regex-syntax_0.8.11__LICENSE-APACHE;regex-syntax_0.8.11__LICENSE-MIT"	"included"
"cargo"	"reqwest"	"0.13.5"	"MIT OR Apache-2.0"	"reqwest_0.13.5__LICENSE-APACHE;reqwest_0.13.5__LICENSE-MIT"	"included"
"cargo"	"rfd"	"0.16.0"	"MIT"	"rfd_0.16.0__LICENSE"	"included"
"cargo"	"ring"	"0.17.14"	"Apache-2.0 AND ISC"	"ring_0.17.14__LICENSE;ring_0.17.14__LICENSE-BoringSSL;ring_0.17.14__LICENSE-other-bits"	"included"
"cargo"	"rustc_version"	"0.4.1"	"MIT OR Apache-2.0"	"rustc_version_0.4.1__LICENSE-APACHE;rustc_version_0.4.1__LICENSE-MIT"	"included"
"cargo"	"rustc-hash"	"2.1.3"	"Apache-2.0 OR MIT"	"rustc-hash_2.1.3__LICENSE-APACHE;rustc-hash_2.1.3__LICENSE-MIT"	"included"
"cargo"	"rustls"	"0.23.45"	"Apache-2.0 OR ISC OR MIT"	"rustls_0.23.45__LICENSE-APACHE;rustls_0.23.45__LICENSE-ISC;rustls_0.23.45__LICENSE-MIT"	"included"
"cargo"	"rustls-pki-types"	"1.15.1"	"MIT OR Apache-2.0"	"rustls-pki-types_1.15.1__LICENSE-APACHE;rustls-pki-types_1.15.1__LICENSE-MIT"	"included"
"cargo"	"rustls-platform-verifier"	"0.7.0"	"MIT OR Apache-2.0"	"rustls-platform-verifier_0.7.0__LICENSE-APACHE;rustls-platform-verifier_0.7.0__LICENSE-MIT"	"included"
"cargo"	"rustls-webpki"	"0.103.15"	"ISC"	"rustls-webpki_0.103.15__LICENSE"	"included"
"cargo"	"same-file"	"1.0.6"	"Unlicense/MIT"	"same-file_1.0.6__COPYING;same-file_1.0.6__LICENSE-MIT"	"included"
"cargo"	"schemars"	"0.8.22"	"MIT"	"schemars_0.8.22__LICENSE"	"included"
